# Sample_Diag-excap17-13000766100-KIT-AI50Mbv5
PLOD1__NM_000302__exon1	100%	0/0 (100%)
PLOD1__NM_000302__exon2	100%	2/2 (100%)
PLOD1__NM_000302__exon3	100%	2/2 (100%)
PLOD1__NM_000302__exon4	100%	2/2 (100%)
PLOD1__NM_000302__exon5	100%	2/2 (100%)
PLOD1__NM_000302__exon6	100%	0/0 (100%)
PLOD1__NM_000302__exon7	100%	0/0 (100%)
PLOD1__NM_000302__exon8	100%	0/0 (100%)
PLOD1__NM_000302__exon9	100%	1/1 (100%)
PLOD1__NM_000302__exon10	100%	3/3 (100%)
PLOD1__NM_000302__exon11	100%	1/1 (100%)
PLOD1__NM_000302__exon12	100%	2/2 (100%)
PLOD1__NM_000302__exon13	100%	2/2 (100%)
PLOD1__NM_000302__exon14	100%	2/2 (100%)
PLOD1__NM_000302__exon15	100%	1/1 (100%)
PLOD1__NM_000302__exon16	100%	3/3 (100%)
PLOD1__NM_000302__exon17	100%	1/1 (100%)
PLOD1__NM_000302__exon18	100%	2/2 (100%)
PLOD1__NM_000302__exon19	100%	2/2 (100%)
COL11A1__NM_001854__exon67	100%	0/0 (100%)
COL11A1__NM_001854__exon66	100%	0/0 (100%)
COL11A1__NM_001854__exon65	100%	0/0 (100%)
COL11A1__NM_001854__exon64	100%	0/0 (100%)
COL11A1__NM_001854__exon63	100%	0/0 (100%)
COL11A1__NM_001854__exon62	100%	1/1 (100%)
COL11A1__NM_001854__exon61	100%	2/2 (100%)
COL11A1__NM_001854__exon60	100%	0/0 (100%)
COL11A1__NM_001854__exon59	100%	1/1 (100%)
COL11A1__NM_001854__exon58	100%	0/0 (100%)
COL11A1__NM_001854__exon57	0%	0/0 (100%)
COL11A1__NM_001854__exon56	100%	0/0 (100%)
COL11A1__NM_001854__exon55	72%	0/1 (0%)
COL11A1__NM_001854__exon54	100%	3/3 (100%)
COL11A1__NM_001854__exon53	100%	0/0 (100%)
COL11A1__NM_001854__exon52	100%	3/3 (100%)
COL11A1__NM_001854__exon51	100%	0/0 (100%)
COL11A1__NM_001854__exon50	100%	5/5 (100%)
COL11A1__NM_001854__exon49	100%	0/0 (100%)
COL11A1__NM_001854__exon48	100%	0/0 (100%)
COL11A1__NM_001854__exon47	100%	0/0 (100%)
COL11A1__NM_001854__exon46	100%	0/0 (100%)
COL11A1__NM_001854__exon45	100%	1/1 (100%)
COL11A1__NM_001854__exon44	100%	0/0 (100%)
COL11A1__NM_001854__exon43	100%	0/0 (100%)
COL11A1__NM_001854__exon42	100%	0/0 (100%)
COL11A1__NM_001854__exon41	100%	2/2 (100%)
COL11A1__NM_001854__exon40	100%	1/1 (100%)
COL11A1__NM_001854__exon39	100%	1/1 (100%)
COL11A1__NM_001854__exon38	100%	2/2 (100%)
COL11A1__NM_001854__exon37	100%	0/0 (100%)
COL11A1__NM_001854__exon36	100%	1/1 (100%)
COL11A1__NM_001854__exon35	100%	0/0 (100%)
COL11A1__NM_001854__exon34	100%	1/1 (100%)
COL11A1__NM_001854__exon33	100%	0/0 (100%)
COL11A1__NM_001854__exon32	100%	0/0 (100%)
COL11A1__NM_001854__exon31	100%	0/0 (100%)
COL11A1__NM_001854__exon30	100%	0/0 (100%)
COL11A1__NM_001854__exon29	93%	1/1 (100%)
COL11A1__NM_001854__exon28	0%	0/0 (100%)
COL11A1__NM_001854__exon27	100%	0/0 (100%)
COL11A1__NM_001854__exon26	100%	0/0 (100%)
COL11A1__NM_001854__exon25	0%	0/0 (100%)
COL11A1__NM_001854__exon24	100%	0/0 (100%)
COL11A1__NM_001854__exon23	100%	0/0 (100%)
COL11A1__NM_001854__exon22	100%	2/2 (100%)
COL11A1__NM_001854__exon21	100%	0/0 (100%)
COL11A1__NM_001854__exon20	61%	1/1 (100%)
COL11A1__NM_001854__exon19	0%	0/1 (0%)
COL11A1__NM_001854__exon18	100%	0/0 (100%)
COL11A1__NM_001854__exon17	100%	1/1 (100%)
COL11A1__NM_001854__exon16	100%	1/1 (100%)
COL11A1__NM_001854__exon15	100%	1/1 (100%)
COL11A1__NM_001854__exon14	100%	0/0 (100%)
COL11A1__NM_001854__exon13	100%	0/0 (100%)
COL11A1__NM_001854__exon12	100%	0/0 (100%)
COL11A1__NM_001854__exon11	100%	0/0 (100%)
COL11A1__NM_001854__exon10	100%	0/0 (100%)
COL11A1__NM_001854__exon9	100%	0/0 (100%)
COL11A1__NM_001854__exon8	100%	1/1 (100%)
COL11A1__NM_001854__exon7	100%	0/0 (100%)
COL11A1__NM_001854__exon6	100%	0/0 (100%)
COL11A1__NM_001854__exon5	100%	0/0 (100%)
COL11A1__NM_001854__exon4	100%	0/0 (100%)
COL11A1__NM_001854__exon3	100%	0/0 (100%)
COL11A1__NM_001854__exon2	100%	1/1 (100%)
COL11A1__NM_001854__exon1	100%	0/0 (100%)
TGFB2__NM_003238__exon1	100%	3/3 (100%)
TGFB2__NM_003238__exon2	100%	1/1 (100%)
TGFB2__NM_003238__exon3	100%	0/0 (100%)
TGFB2__NM_003238__exon4	100%	1/1 (100%)
TGFB2__NM_003238__exon5	100%	4/4 (100%)
TGFB2__NM_003238__exon6	100%	3/3 (100%)
TGFB2__NM_003238__exon7	100%	0/0 (100%)
COL3A1__NM_000090__exon1	100%	0/0 (100%)
COL3A1__NM_000090__exon2	100%	1/1 (100%)
COL3A1__NM_000090__exon3	100%	0/0 (100%)
COL3A1__NM_000090__exon4	100%	1/1 (100%)
COL3A1__NM_000090__exon5	100%	2/2 (100%)
COL3A1__NM_000090__exon6	100%	7/7 (100%)
COL3A1__NM_000090__exon7	100%	4/4 (100%)
COL3A1__NM_000090__exon8	0%	0/5 (0%)
COL3A1__NM_000090__exon9	100%	4/4 (100%)
COL3A1__NM_000090__exon10	100%	10/10 (100%)
COL3A1__NM_000090__exon11	100%	3/3 (100%)
COL3A1__NM_000090__exon12	100%	2/2 (100%)
COL3A1__NM_000090__exon13	100%	3/3 (100%)
COL3A1__NM_000090__exon14	100%	4/4 (100%)
COL3A1__NM_000090__exon15	100%	2/2 (100%)
COL3A1__NM_000090__exon16	100%	1/1 (100%)
COL3A1__NM_000090__exon17	100%	3/3 (100%)
COL3A1__NM_000090__exon18	100%	2/2 (100%)
COL3A1__NM_000090__exon19	100%	3/3 (100%)
COL3A1__NM_000090__exon20	100%	2/2 (100%)
COL3A1__NM_000090__exon21	100%	4/4 (100%)
COL3A1__NM_000090__exon22	100%	3/3 (100%)
COL3A1__NM_000090__exon23	100%	4/4 (100%)
COL3A1__NM_000090__exon24	100%	4/4 (100%)
COL3A1__NM_000090__exon25	100%	5/5 (100%)
COL3A1__NM_000090__exon26	100%	6/6 (100%)
COL3A1__NM_000090__exon27	100%	3/3 (100%)
COL3A1__NM_000090__exon28	100%	2/2 (100%)
COL3A1__NM_000090__exon29	100%	6/6 (100%)
COL3A1__NM_000090__exon30	100%	4/4 (100%)
COL3A1__NM_000090__exon31	100%	9/9 (100%)
COL3A1__NM_000090__exon32	100%	2/2 (100%)
COL3A1__NM_000090__exon33	100%	3/3 (100%)
COL3A1__NM_000090__exon34	100%	1/1 (100%)
COL3A1__NM_000090__exon35	100%	3/3 (100%)
COL3A1__NM_000090__exon36	100%	5/5 (100%)
COL3A1__NM_000090__exon37	100%	3/3 (100%)
COL3A1__NM_000090__exon38	100%	4/4 (100%)
COL3A1__NM_000090__exon39	38%	7/14 (50%)
COL3A1__NM_000090__exon40	100%	8/8 (100%)
COL3A1__NM_000090__exon41	100%	10/10 (100%)
COL3A1__NM_000090__exon42	100%	4/4 (100%)
COL3A1__NM_000090__exon43	100%	6/6 (100%)
COL3A1__NM_000090__exon44	16%	1/5 (20%)
COL3A1__NM_000090__exon45	100%	6/6 (100%)
COL3A1__NM_000090__exon46	100%	2/2 (100%)
COL3A1__NM_000090__exon47	100%	13/13 (100%)
COL3A1__NM_000090__exon48	100%	12/12 (100%)
COL3A1__NM_000090__exon49	100%	2/2 (100%)
COL3A1__NM_000090__exon50	100%	0/0 (100%)
COL3A1__NM_000090__exon51	100%	1/1 (100%)
COL5A2__NM_000393__exon54	100%	0/0 (100%)
COL5A2__NM_000393__exon53	100%	2/2 (100%)
COL5A2__NM_000393__exon52	100%	0/0 (100%)
COL5A2__NM_000393__exon51	100%	0/0 (100%)
COL5A2__NM_000393__exon50	100%	1/1 (100%)
COL5A2__NM_000393__exon49	100%	0/0 (100%)
COL5A2__NM_000393__exon48	100%	2/2 (100%)
COL5A2__NM_000393__exon47	100%	0/0 (100%)
COL5A2__NM_000393__exon46	100%	0/0 (100%)
COL5A2__NM_000393__exon45	100%	0/0 (100%)
COL5A2__NM_000393__exon44	100%	1/1 (100%)
COL5A2__NM_000393__exon43	100%	0/0 (100%)
COL5A2__NM_000393__exon42	100%	0/0 (100%)
COL5A2__NM_000393__exon41	100%	0/0 (100%)
COL5A2__NM_000393__exon40	100%	0/0 (100%)
COL5A2__NM_000393__exon39	100%	0/0 (100%)
COL5A2__NM_000393__exon38	100%	1/1 (100%)
COL5A2__NM_000393__exon37	100%	1/1 (100%)
COL5A2__NM_000393__exon36	100%	0/0 (100%)
COL5A2__NM_000393__exon35	100%	0/0 (100%)
COL5A2__NM_000393__exon34	100%	0/0 (100%)
COL5A2__NM_000393__exon33	100%	0/0 (100%)
COL5A2__NM_000393__exon32	100%	0/0 (100%)
COL5A2__NM_000393__exon31	100%	0/0 (100%)
COL5A2__NM_000393__exon30	100%	1/1 (100%)
COL5A2__NM_000393__exon29	100%	4/4 (100%)
COL5A2__NM_000393__exon28	100%	0/0 (100%)
COL5A2__NM_000393__exon27	100%	0/0 (100%)
COL5A2__NM_000393__exon26	100%	0/0 (100%)
COL5A2__NM_000393__exon25	100%	0/0 (100%)
COL5A2__NM_000393__exon24	100%	0/0 (100%)
COL5A2__NM_000393__exon23	100%	0/0 (100%)
COL5A2__NM_000393__exon22	100%	0/0 (100%)
COL5A2__NM_000393__exon21	100%	1/1 (100%)
COL5A2__NM_000393__exon20	100%	0/0 (100%)
COL5A2__NM_000393__exon19	100%	1/1 (100%)
COL5A2__NM_000393__exon18	100%	0/0 (100%)
COL5A2__NM_000393__exon17	100%	0/0 (100%)
COL5A2__NM_000393__exon16	100%	1/1 (100%)
COL5A2__NM_000393__exon15	100%	0/0 (100%)
COL5A2__NM_000393__exon14	100%	0/0 (100%)
COL5A2__NM_000393__exon13	100%	0/0 (100%)
COL5A2__NM_000393__exon12	100%	0/0 (100%)
COL5A2__NM_000393__exon11	100%	0/0 (100%)
COL5A2__NM_000393__exon10	100%	0/0 (100%)
COL5A2__NM_000393__exon9	100%	0/0 (100%)
COL5A2__NM_000393__exon8	100%	1/1 (100%)
COL5A2__NM_000393__exon7	100%	0/0 (100%)
COL5A2__NM_000393__exon6	100%	0/0 (100%)
COL5A2__NM_000393__exon5	100%	0/0 (100%)
COL5A2__NM_000393__exon4	100%	0/0 (100%)
COL5A2__NM_000393__exon3	100%	0/0 (100%)
COL5A2__NM_000393__exon2	100%	0/0 (100%)
COL5A2__NM_000393__exon1	100%	0/0 (100%)
TGFBR2__NM_003242__exon1	100%	0/0 (100%)
TGFBR2__NM_003242__exon2	100%	1/1 (100%)
TGFBR2__NM_003242__exon3	100%	3/3 (100%)
TGFBR2__NM_003242__exon4	100%	30/30 (100%)
TGFBR2__NM_003242__exon5	100%	19/19 (100%)
TGFBR2__NM_003242__exon6	100%	12/12 (100%)
TGFBR2__NM_003242__exon7	100%	25/25 (100%)
FBN2__NM_001999__exon65	100%	0/0 (100%)
FBN2__NM_001999__exon64	100%	0/0 (100%)
FBN2__NM_001999__exon63	100%	0/0 (100%)
FBN2__NM_001999__exon62	100%	0/0 (100%)
FBN2__NM_001999__exon61	100%	0/0 (100%)
FBN2__NM_001999__exon60	100%	0/0 (100%)
FBN2__NM_001999__exon59	100%	0/0 (100%)
FBN2__NM_001999__exon58	100%	0/0 (100%)
FBN2__NM_001999__exon57	100%	0/0 (100%)
FBN2__NM_001999__exon56	100%	0/0 (100%)
FBN2__NM_001999__exon55	100%	0/0 (100%)
FBN2__NM_001999__exon54	100%	0/0 (100%)
FBN2__NM_001999__exon53	100%	0/0 (100%)
FBN2__NM_001999__exon52	100%	0/0 (100%)
FBN2__NM_001999__exon51	100%	0/0 (100%)
FBN2__NM_001999__exon50	100%	0/0 (100%)
FBN2__NM_001999__exon49	100%	0/0 (100%)
FBN2__NM_001999__exon48	100%	0/0 (100%)
FBN2__NM_001999__exon47	100%	0/0 (100%)
FBN2__NM_001999__exon46	100%	0/0 (100%)
FBN2__NM_001999__exon45	100%	0/0 (100%)
FBN2__NM_001999__exon44	100%	0/0 (100%)
FBN2__NM_001999__exon43	100%	0/0 (100%)
FBN2__NM_001999__exon42	100%	0/0 (100%)
FBN2__NM_001999__exon41	100%	0/0 (100%)
FBN2__NM_001999__exon40	100%	0/0 (100%)
FBN2__NM_001999__exon39	100%	0/0 (100%)
FBN2__NM_001999__exon38	100%	0/0 (100%)
FBN2__NM_001999__exon37	100%	0/0 (100%)
FBN2__NM_001999__exon36	100%	0/0 (100%)
FBN2__NM_001999__exon35	100%	1/1 (100%)
FBN2__NM_001999__exon34	100%	0/0 (100%)
FBN2__NM_001999__exon33	100%	5/5 (100%)
FBN2__NM_001999__exon32	100%	4/4 (100%)
FBN2__NM_001999__exon31	100%	2/2 (100%)
FBN2__NM_001999__exon30	100%	0/0 (100%)
FBN2__NM_001999__exon29	100%	6/6 (100%)
FBN2__NM_001999__exon28	100%	1/1 (100%)
FBN2__NM_001999__exon27	100%	3/3 (100%)
FBN2__NM_001999__exon26	100%	8/8 (100%)
FBN2__NM_001999__exon25	100%	4/4 (100%)
FBN2__NM_001999__exon24	100%	1/1 (100%)
FBN2__NM_001999__exon23	100%	0/0 (100%)
FBN2__NM_001999__exon22	100%	0/0 (100%)
FBN2__NM_001999__exon21	100%	0/0 (100%)
FBN2__NM_001999__exon20	100%	0/0 (100%)
FBN2__NM_001999__exon19	100%	0/0 (100%)
FBN2__NM_001999__exon18	100%	0/0 (100%)
FBN2__NM_001999__exon17	100%	1/1 (100%)
FBN2__NM_001999__exon16	100%	0/0 (100%)
FBN2__NM_001999__exon15	100%	0/0 (100%)
FBN2__NM_001999__exon14	100%	0/0 (100%)
FBN2__NM_001999__exon13	100%	0/0 (100%)
FBN2__NM_001999__exon12	100%	0/0 (100%)
FBN2__NM_001999__exon11	100%	0/0 (100%)
FBN2__NM_001999__exon10	100%	0/0 (100%)
FBN2__NM_001999__exon9	100%	0/0 (100%)
FBN2__NM_001999__exon8	100%	1/1 (100%)
FBN2__NM_001999__exon7	100%	0/0 (100%)
FBN2__NM_001999__exon6	100%	0/0 (100%)
FBN2__NM_001999__exon5	100%	0/0 (100%)
FBN2__NM_001999__exon4	100%	0/0 (100%)
FBN2__NM_001999__exon3	100%	0/0 (100%)
FBN2__NM_001999__exon2	100%	0/0 (100%)
FBN2__NM_001999__exon1	100%	0/0 (100%)
B4GALT7__NM_007255__exon1	100%	0/0 (100%)
B4GALT7__NM_007255__exon2	100%	0/0 (100%)
B4GALT7__NM_007255__exon3	100%	2/2 (100%)
B4GALT7__NM_007255__exon4	100%	0/0 (100%)
B4GALT7__NM_007255__exon5	100%	1/1 (100%)
B4GALT7__NM_007255__exon6	100%	0/0 (100%)
ADAMTS2__NM_014244__exon22	100%	0/0 (100%)
ADAMTS2__NM_014244__exon21	100%	0/0 (100%)
ADAMTS2__NM_014244__exon20	100%	0/0 (100%)
ADAMTS2__NM_014244__exon19	100%	0/0 (100%)
ADAMTS2__NM_014244__exon18	100%	0/0 (100%)
ADAMTS2__NM_014244__exon17	100%	1/1 (100%)
ADAMTS2__NM_014244__exon16	100%	1/1 (100%)
ADAMTS2__NM_014244__exon15	100%	0/0 (100%)
ADAMTS2__NM_014244__exon14	100%	0/0 (100%)
ADAMTS2__NM_014244__exon13	100%	0/0 (100%)
ADAMTS2__NM_014244__exon12	100%	0/0 (100%)
ADAMTS2__NM_014244__exon11	100%	0/0 (100%)
ADAMTS2__NM_014244__exon10	100%	0/0 (100%)
ADAMTS2__NM_014244__exon9	100%	0/0 (100%)
ADAMTS2__NM_014244__exon8	100%	0/0 (100%)
ADAMTS2__NM_014244__exon7	100%	0/0 (100%)
ADAMTS2__NM_014244__exon6	100%	0/0 (100%)
ADAMTS2__NM_014244__exon5	100%	0/0 (100%)
ADAMTS2__NM_014244__exon4	100%	0/0 (100%)
ADAMTS2__NM_014244__exon3	100%	1/1 (100%)
ADAMTS2__NM_014244__exon2	100%	0/0 (100%)
ADAMTS2__NM_014244__exon1	100%	0/0 (100%)
TNXB__NM_019105__exon44	100%	0/0 (100%)
TNXB__NM_019105__exon43	100%	0/0 (100%)
TNXB__NM_019105__exon42	100%	0/0 (100%)
TNXB__NM_019105__exon41	100%	0/0 (100%)
TNXB__NM_019105__exon40	100%	0/0 (100%)
TNXB__NM_019105__exon39	100%	0/0 (100%)
TNXB__NM_019105__exon38	100%	0/0 (100%)
TNXB__NM_019105__exon37	100%	0/0 (100%)
TNXB__NM_019105__exon36	100%	0/0 (100%)
TNXB__NM_019105__exon35	100%	0/0 (100%)
TNXB__NM_019105__exon34	100%	0/0 (100%)
TNXB__NM_019105__exon33	100%	0/0 (100%)
TNXB__NM_019105__exon32	100%	0/0 (100%)
TNXB__NM_019105__exon31	100%	0/0 (100%)
TNXB__NM_019105__exon30	100%	0/0 (100%)
TNXB__NM_019105__exon29	100%	0/0 (100%)
TNXB__NM_019105__exon28	100%	0/0 (100%)
TNXB__NM_019105__exon27	100%	0/0 (100%)
TNXB__NM_019105__exon26	100%	0/0 (100%)
TNXB__NM_019105__exon25	100%	0/0 (100%)
TNXB__NM_019105__exon24	100%	0/0 (100%)
TNXB__NM_019105__exon23	100%	0/0 (100%)
TNXB__NM_019105__exon22	100%	0/0 (100%)
TNXB__NM_019105__exon21	100%	1/1 (100%)
TNXB__NM_019105__exon20	100%	1/1 (100%)
TNXB__NM_019105__exon19	100%	0/0 (100%)
TNXB__NM_019105__exon18	100%	0/0 (100%)
TNXB__NM_019105__exon17	100%	0/0 (100%)
TNXB__NM_019105__exon16	100%	0/0 (100%)
TNXB__NM_019105__exon15	100%	0/0 (100%)
TNXB__NM_019105__exon14	100%	0/0 (100%)
TNXB__NM_019105__exon13	100%	0/0 (100%)
TNXB__NM_019105__exon12	100%	0/0 (100%)
TNXB__NM_019105__exon11	100%	0/0 (100%)
TNXB__NM_019105__exon10	100%	0/0 (100%)
TNXB__NM_019105__exon9	100%	0/0 (100%)
TNXB__NM_019105__exon8	100%	2/2 (100%)
TNXB__NM_019105__exon7	100%	0/0 (100%)
TNXB__NM_019105__exon6	100%	1/1 (100%)
TNXB__NM_019105__exon5	100%	0/0 (100%)
TNXB__NM_019105__exon4	100%	0/0 (100%)
TNXB__NM_019105__exon3	100%	1/1 (100%)
TNXB__NM_019105__exon2	100%	1/1 (100%)
ELN__NM_000501__exon1	100%	0/0 (100%)
ELN__NM_000501__exon2	100%	0/0 (100%)
ELN__NM_000501__exon3	100%	0/0 (100%)
ELN__NM_000501__exon4	100%	0/0 (100%)
