ARX__NM_139058__exon5 0 0/8 (0%)
ARX__NM_139058__exon4 32 4/5 (80%)
ARX__NM_139058__exon3 100 4/4 (100%)
ARX__NM_139058__exon2 0 0/20 (0%)
ARX__NM_139058__exon1 98 3/4 (75%)
CDKL5__NM_003159__exon2 100 2/2 (100%)
CDKL5__NM_003159__exon3 100 2/2 (100%)
CDKL5__NM_003159__exon4 100 2/2 (100%)
CDKL5__NM_003159__exon5 100 12/12 (100%)
CDKL5__NM_003159__exon6 100 6/6 (100%)
CDKL5__NM_003159__exon7 100 6/6 (100%)
CDKL5__NM_003159__exon8 100 9/9 (100%)
CDKL5__NM_003159__exon9 100 7/7 (100%)
CDKL5__NM_003159__exon10 100 2/2 (100%)
CDKL5__NM_003159__exon11 100 10/10 (100%)
CDKL5__NM_003159__exon12 100 15/15 (100%)
CDKL5__NM_003159__exon13 100 4/4 (100%)
CDKL5__NM_003159__exon14 100 4/4 (100%)
CDKL5__NM_003159__exon15 100 0/0 (100%)
CDKL5__NM_003159__exon16 100 5/5 (100%)
CDKL5__NM_003159__exon17 100 0/0 (100%)
CDKL5__NM_003159__exon18 100 5/5 (100%)
CDKL5__NM_003159__exon19 100 0/0 (100%)
CDKL5__NM_003159__exon20 100 2/2 (100%)
CDKL5__NM_003159__exon21 100 0/0 (100%)
FOXG1__NM_005249__exon1 80 18/23 (78%)
KCNQ2__NM_172107__exon17 76 7/8 (88%)
KCNQ2__NM_172107__exon16 94 1/1 (100%)
KCNQ2__NM_172107__exon15 100 7/7 (100%)
KCNQ2__NM_172107__exon14 100 2/2 (100%)
KCNQ2__NM_172107__exon13 100 1/1 (100%)
KCNQ2__NM_172107__exon12 0 0/0 (100%)
KCNQ2__NM_172107__exon11 29 0/1 (0%)
KCNQ2__NM_172107__exon10 0 0/2 (0%)
KCNQ2__NM_172107__exon9 100 0/0 (100%)
KCNQ2__NM_172107__exon8 100 3/3 (100%)
KCNQ2__NM_172107__exon7 100 6/6 (100%)
KCNQ2__NM_172107__exon6 100 7/7 (100%)
KCNQ2__NM_172107__exon5 100 9/9 (100%)
KCNQ2__NM_172107__exon4 69 11/13 (85%)
KCNQ2__NM_172107__exon3 100 1/1 (100%)
KCNQ2__NM_172107__exon2 100 5/5 (100%)
KCNQ2__NM_172107__exon1 27 1/5 (20%)
MECP2__NM_004992__exon4 100 291/291 (100%)
MECP2__NM_004992__exon3 100 72/72 (100%)
MECP2__NM_004992__exon2 100 1/1 (100%)
PCDH19__NM_001184880__exon6 100 1/1 (100%)
PCDH19__NM_001184880__exon5 100 2/2 (100%)
PCDH19__NM_001184880__exon4 100 4/4 (100%)
PCDH19__NM_001184880__exon3 100 0/0 (100%)
PCDH19__NM_001184880__exon2 100 0/0 (100%)
PCDH19__NM_001184880__exon1 98 68/68 (100%)
PNKP__NM_007254__exon17 100 0/0 (100%)
PNKP__NM_007254__exon16 100 0/0 (100%)
PNKP__NM_007254__exon15 59 0/0 (100%)
PNKP__NM_007254__exon14 80 0/1 (0%)
PNKP__NM_007254__exon13 100 0/0 (100%)
PNKP__NM_007254__exon12 86 0/0 (100%)
PNKP__NM_007254__exon11 0 0/1 (0%)
PNKP__NM_007254__exon10 100 0/0 (100%)
PNKP__NM_007254__exon9 100 0/0 (100%)
PNKP__NM_007254__exon8 0 0/0 (100%)
PNKP__NM_007254__exon7 100 0/0 (100%)
PNKP__NM_007254__exon6 100 0/0 (100%)
PNKP__NM_007254__exon5 100 1/1 (100%)
PNKP__NM_007254__exon4 100 0/0 (100%)
PNKP__NM_007254__exon3 100 0/0 (100%)
PNKP__NM_007254__exon2 100 0/0 (100%)
POLG__NM_002693__exon23 100 3/3 (100%)
POLG__NM_002693__exon22 100 15/15 (100%)
POLG__NM_002693__exon21 100 17/17 (100%)
POLG__NM_002693__exon20 100 11/11 (100%)
POLG__NM_002693__exon19 100 4/4 (100%)
POLG__NM_002693__exon18 100 24/24 (100%)
POLG__NM_002693__exon17 100 11/11 (100%)
POLG__NM_002693__exon16 100 13/13 (100%)
POLG__NM_002693__exon15 100 1/1 (100%)
POLG__NM_002693__exon14 100 10/10 (100%)
POLG__NM_002693__exon13 100 9/9 (100%)
POLG__NM_002693__exon12 100 2/2 (100%)
POLG__NM_002693__exon11 100 1/1 (100%)
POLG__NM_002693__exon10 100 16/16 (100%)
POLG__NM_002693__exon9 100 3/3 (100%)
POLG__NM_002693__exon8 100 3/3 (100%)
POLG__NM_002693__exon7 100 15/15 (100%)
POLG__NM_002693__exon6 100 2/2 (100%)
POLG__NM_002693__exon5 100 5/5 (100%)
POLG__NM_002693__exon4 100 9/9 (100%)
POLG__NM_002693__exon3 100 13/13 (100%)
POLG__NM_002693__exon2 92 7/9 (78%)
SCN1A__NM_001165963__exon26 100 155/155 (100%)
SCN1A__NM_001165963__exon25 100 34/34 (100%)
SCN1A__NM_001165963__exon24 100 20/20 (100%)
SCN1A__NM_001165963__exon23 100 28/28 (100%)
SCN1A__NM_001165963__exon22 100 11/11 (100%)
SCN1A__NM_001165963__exon21 100 45/45 (100%)
SCN1A__NM_001165963__exon20 100 23/23 (100%)
SCN1A__NM_001165963__exon19 100 32/32 (100%)
SCN1A__NM_001165963__exon18 100 24/24 (100%)
SCN1A__NM_001165963__exon17 100 12/12 (100%)
SCN1A__NM_001165963__exon16 100 33/33 (100%)
SCN1A__NM_001165963__exon15 100 69/69 (100%)
SCN1A__NM_001165963__exon14 100 27/27 (100%)
SCN1A__NM_001165963__exon13 100 15/15 (100%)
SCN1A__NM_001165963__exon12 100 7/7 (100%)
SCN1A__NM_001165963__exon11 100 18/18 (100%)
SCN1A__NM_001165963__exon10 100 20/20 (100%)
SCN1A__NM_001165963__exon9 100 34/34 (100%)
SCN1A__NM_001165963__exon8 100 34/34 (100%)
SCN1A__NM_001165963__exon7 100 8/8 (100%)
SCN1A__NM_001165963__exon6 100 31/31 (100%)
SCN1A__NM_001165963__exon5 100 15/15 (100%)
SCN1A__NM_001165963__exon4 100 29/29 (100%)
SCN1A__NM_001165963__exon3 100 8/8 (100%)
SCN1A__NM_001165963__exon2 100 20/20 (100%)
SCN1A__NM_001165963__exon1 100 27/27 (100%)
SLC9A6__NM_001042537__exon1 88 0/0 (100%)
SLC9A6__NM_001042537__exon2 100 0/0 (100%)
SLC9A6__NM_001042537__exon3 100 1/1 (100%)
SLC9A6__NM_001042537__exon4 100 1/1 (100%)
SLC9A6__NM_001042537__exon5 100 0/0 (100%)
SLC9A6__NM_001042537__exon6 100 1/1 (100%)
SLC9A6__NM_001042537__exon7 100 1/1 (100%)
SLC9A6__NM_001042537__exon8 100 1/1 (100%)
SLC9A6__NM_001042537__exon9 100 0/0 (100%)
SLC9A6__NM_001042537__exon10 100 0/0 (100%)
SLC9A6__NM_001042537__exon11 100 0/0 (100%)
SLC9A6__NM_001042537__exon12 100 1/1 (100%)
SLC9A6__NM_001042537__exon13 100 0/0 (100%)
SLC9A6__NM_001042537__exon14 100 0/0 (100%)
SLC9A6__NM_001042537__exon15 100 0/0 (100%)
SLC9A6__NM_001042537__exon16 100 0/0 (100%)
STXBP1__NM_003165__exon1 100 0/0 (100%)
STXBP1__NM_003165__exon2 100 0/0 (100%)
STXBP1__NM_003165__exon3 100 2/2 (100%)
STXBP1__NM_003165__exon4 100 2/2 (100%)
STXBP1__NM_003165__exon5 100 3/3 (100%)
STXBP1__NM_003165__exon6 100 3/3 (100%)
STXBP1__NM_003165__exon7 100 2/2 (100%)
STXBP1__NM_003165__exon8 100 0/0 (100%)
STXBP1__NM_003165__exon9 100 2/2 (100%)
STXBP1__NM_003165__exon10 100 2/2 (100%)
STXBP1__NM_003165__exon11 100 2/2 (100%)
STXBP1__NM_003165__exon12 100 1/1 (100%)
STXBP1__NM_003165__exon13 100 1/1 (100%)
STXBP1__NM_003165__exon14 100 3/3 (100%)
STXBP1__NM_003165__exon15 100 1/1 (100%)
STXBP1__NM_003165__exon16 0 0/2 (0%)
STXBP1__NM_003165__exon17 100 0/0 (100%)
STXBP1__NM_003165__exon18 100 3/3 (100%)
STXBP1__NM_003165__exon19 100 1/1 (100%)
SYNGAP1__NM_006772__exon1 0 0/0 (100%)
SYNGAP1__NM_006772__exon2 100 0/0 (100%)
SYNGAP1__NM_006772__exon3 100 0/0 (100%)
SYNGAP1__NM_006772__exon4 100 1/1 (100%)
SYNGAP1__NM_006772__exon5 100 1/1 (100%)
SYNGAP1__NM_006772__exon6 100 0/0 (100%)
SYNGAP1__NM_006772__exon7 100 0/0 (100%)
SYNGAP1__NM_006772__exon8 100 2/2 (100%)
SYNGAP1__NM_006772__exon9 100 0/0 (100%)
SYNGAP1__NM_006772__exon10 100 0/0 (100%)
SYNGAP1__NM_006772__exon11 100 1/1 (100%)
SYNGAP1__NM_006772__exon12 100 0/0 (100%)
SYNGAP1__NM_006772__exon13 100 1/1 (100%)
SYNGAP1__NM_006772__exon14 100 0/0 (100%)
SYNGAP1__NM_006772__exon15 100 3/3 (100%)
SYNGAP1__NM_006772__exon16 100 0/0 (100%)
SYNGAP1__NM_006772__exon17 100 0/0 (100%)
SYNGAP1__NM_006772__exon18 0 0/0 (100%)
SYNGAP1__NM_006772__exon19 100 0/0 (100%)
UBE3A__NM_130838__exon10 100 10/10 (100%)
UBE3A__NM_130838__exon9 100 5/5 (100%)
UBE3A__NM_130838__exon8 100 1/1 (100%)
UBE3A__NM_130838__exon7 100 0/0 (100%)
UBE3A__NM_130838__exon6 100 4/4 (100%)
UBE3A__NM_130838__exon5 100 3/3 (100%)
UBE3A__NM_130838__exon4 100 6/6 (100%)
UBE3A__NM_130838__exon3 100 33/33 (100%)
UBE3A__NM_130838__exon2 100 5/5 (100%)
UBE3A__NM_130838__exon1 100 0/0 (100%)
