# Sample_Diag-excap18-13000860900-KIT-AI50Mbv5
SCN1A__NM_001165963	100%	779/779 (100%)
SYNGAP1__NM_006772	98%	9/9 (100%)
STXBP1__NM_003165	100%	30/30 (100%)
FOXG1__NM_005249	100%	23/23 (100%)
UBE3A__NM_130838	100%	67/67 (100%)
POLG__NM_002693	100%	196/196 (100%)
PNKP__NM_007254	100%	3/3 (100%)
KCNQ2__NM_172107	100%	71/71 (100%)
CDKL5__NM_003159	100%	93/93 (100%)
ARX__NM_139058	95%	38/41 (93%)
PCDH19__NM_001184880	100%	75/75 (100%)
SLC9A6__NM_001042537	100%	6/6 (100%)
MECP2__NM_004992	100%	364/364 (100%)
