# Sample_Diag-excap18-13000881902-KIT-AI50Mbv5
DRC1__NM_145038__exon1	100%	0/0 (100%)
DRC1__NM_145038__exon2	100%	0/0 (100%)
DRC1__NM_145038__exon3	100%	1/1 (100%)
DRC1__NM_145038__exon4	100%	0/0 (100%)
DRC1__NM_145038__exon5	100%	0/0 (100%)
DRC1__NM_145038__exon6	100%	0/0 (100%)
DRC1__NM_145038__exon7	100%	0/0 (100%)
DRC1__NM_145038__exon8	100%	0/0 (100%)
DRC1__NM_145038__exon9	100%	0/0 (100%)
DRC1__NM_145038__exon10	100%	0/0 (100%)
DRC1__NM_145038__exon11	100%	0/0 (100%)
DRC1__NM_145038__exon12	100%	0/0 (100%)
DRC1__NM_145038__exon13	100%	0/0 (100%)
DRC1__NM_145038__exon14	100%	0/0 (100%)
DRC1__NM_145038__exon15	100%	1/1 (100%)
DRC1__NM_145038__exon16	100%	0/0 (100%)
DRC1__NM_145038__exon17	100%	0/0 (100%)
CCDC39__NM_181426__exon20	100%	0/0 (100%)
CCDC39__NM_181426__exon19	100%	2/2 (100%)
CCDC39__NM_181426__exon18	100%	4/4 (100%)
CCDC39__NM_181426__exon17	100%	2/2 (100%)
CCDC39__NM_181426__exon16	100%	2/2 (100%)
CCDC39__NM_181426__exon15	100%	2/2 (100%)
CCDC39__NM_181426__exon14	100%	0/0 (100%)
CCDC39__NM_181426__exon13	100%	5/5 (100%)
CCDC39__NM_181426__exon12	100%	1/1 (100%)
CCDC39__NM_181426__exon11	100%	3/3 (100%)
CCDC39__NM_181426__exon10	100%	0/0 (100%)
CCDC39__NM_181426__exon9	100%	1/1 (100%)
CCDC39__NM_181426__exon8	100%	1/1 (100%)
CCDC39__NM_181426__exon7	100%	2/2 (100%)
CCDC39__NM_181426__exon6	100%	2/2 (100%)
CCDC39__NM_181426__exon5	100%	1/1 (100%)
CCDC39__NM_181426__exon4	100%	1/1 (100%)
CCDC39__NM_181426__exon3	100%	2/2 (100%)
CCDC39__NM_181426__exon2	100%	1/1 (100%)
CCDC39__NM_181426__exon1	100%	0/0 (100%)
DNAH5__NM_001369__exon79	100%	0/0 (100%)
DNAH5__NM_001369__exon78	100%	0/0 (100%)
DNAH5__NM_001369__exon77	100%	3/3 (100%)
DNAH5__NM_001369__exon76	100%	1/1 (100%)
DNAH5__NM_001369__exon75	100%	0/0 (100%)
DNAH5__NM_001369__exon74	100%	1/1 (100%)
DNAH5__NM_001369__exon73	100%	2/2 (100%)
DNAH5__NM_001369__exon72	100%	1/1 (100%)
DNAH5__NM_001369__exon71	100%	0/0 (100%)
DNAH5__NM_001369__exon70	100%	0/0 (100%)
DNAH5__NM_001369__exon69	100%	0/0 (100%)
DNAH5__NM_001369__exon68	100%	1/1 (100%)
DNAH5__NM_001369__exon67	100%	1/1 (100%)
DNAH5__NM_001369__exon66	100%	0/0 (100%)
DNAH5__NM_001369__exon65	100%	1/1 (100%)
DNAH5__NM_001369__exon64	100%	0/0 (100%)
DNAH5__NM_001369__exon63	100%	3/3 (100%)
DNAH5__NM_001369__exon62	100%	1/1 (100%)
DNAH5__NM_001369__exon61	100%	2/2 (100%)
DNAH5__NM_001369__exon60	100%	1/1 (100%)
DNAH5__NM_001369__exon59	100%	0/0 (100%)
DNAH5__NM_001369__exon58	100%	0/0 (100%)
DNAH5__NM_001369__exon57	100%	0/0 (100%)
DNAH5__NM_001369__exon56	100%	1/1 (100%)
DNAH5__NM_001369__exon55	100%	0/0 (100%)
DNAH5__NM_001369__exon54	100%	1/1 (100%)
DNAH5__NM_001369__exon53	100%	2/2 (100%)
DNAH5__NM_001369__exon52	100%	0/0 (100%)
DNAH5__NM_001369__exon51	100%	4/4 (100%)
DNAH5__NM_001369__exon50	100%	4/4 (100%)
DNAH5__NM_001369__exon49	100%	2/2 (100%)
DNAH5__NM_001369__exon48	100%	4/4 (100%)
DNAH5__NM_001369__exon47	100%	0/0 (100%)
DNAH5__NM_001369__exon46	100%	0/0 (100%)
DNAH5__NM_001369__exon45	100%	1/1 (100%)
DNAH5__NM_001369__exon44	100%	1/1 (100%)
DNAH5__NM_001369__exon43	100%	1/1 (100%)
DNAH5__NM_001369__exon42	100%	0/0 (100%)
DNAH5__NM_001369__exon41	100%	1/1 (100%)
DNAH5__NM_001369__exon40	100%	0/0 (100%)
DNAH5__NM_001369__exon39	100%	0/0 (100%)
DNAH5__NM_001369__exon38	100%	0/0 (100%)
DNAH5__NM_001369__exon37	100%	2/2 (100%)
DNAH5__NM_001369__exon36	100%	2/2 (100%)
DNAH5__NM_001369__exon35	100%	0/0 (100%)
DNAH5__NM_001369__exon34	100%	4/4 (100%)
DNAH5__NM_001369__exon33	100%	2/2 (100%)
DNAH5__NM_001369__exon32	100%	4/4 (100%)
DNAH5__NM_001369__exon31	100%	1/1 (100%)
DNAH5__NM_001369__exon30	100%	1/1 (100%)
DNAH5__NM_001369__exon29	100%	0/0 (100%)
DNAH5__NM_001369__exon28	100%	2/2 (100%)
DNAH5__NM_001369__exon27	100%	3/3 (100%)
DNAH5__NM_001369__exon26	100%	1/1 (100%)
DNAH5__NM_001369__exon25	100%	1/1 (100%)
DNAH5__NM_001369__exon24	100%	0/0 (100%)
DNAH5__NM_001369__exon23	100%	0/0 (100%)
DNAH5__NM_001369__exon22	100%	0/0 (100%)
DNAH5__NM_001369__exon21	100%	0/0 (100%)
DNAH5__NM_001369__exon20	100%	2/2 (100%)
DNAH5__NM_001369__exon19	100%	0/0 (100%)
DNAH5__NM_001369__exon18	100%	0/0 (100%)
DNAH5__NM_001369__exon17	100%	1/1 (100%)
DNAH5__NM_001369__exon16	100%	1/1 (100%)
DNAH5__NM_001369__exon15	100%	0/0 (100%)
DNAH5__NM_001369__exon14	100%	1/1 (100%)
DNAH5__NM_001369__exon13	100%	3/3 (100%)
DNAH5__NM_001369__exon12	100%	2/2 (100%)
DNAH5__NM_001369__exon11	100%	1/1 (100%)
DNAH5__NM_001369__exon10	100%	0/0 (100%)
DNAH5__NM_001369__exon9	100%	2/2 (100%)
DNAH5__NM_001369__exon8	100%	1/1 (100%)
DNAH5__NM_001369__exon7	100%	1/1 (100%)
DNAH5__NM_001369__exon6	100%	1/1 (100%)
DNAH5__NM_001369__exon5	100%	0/0 (100%)
DNAH5__NM_001369__exon4	100%	1/1 (100%)
DNAH5__NM_001369__exon3	100%	2/2 (100%)
DNAH5__NM_001369__exon2	100%	0/0 (100%)
DNAH5__NM_001369__exon1	100%	0/0 (100%)
RSPH9__NM_152732__exon1	100%	0/0 (100%)
RSPH9__NM_152732__exon2	100%	1/1 (100%)
RSPH9__NM_152732__exon3	100%	0/0 (100%)
RSPH9__NM_152732__exon4	100%	0/0 (100%)
RSPH9__NM_152732__exon5	100%	1/1 (100%)
RSPH4A__NM_001010892__exon1	100%	3/3 (100%)
RSPH4A__NM_001010892__exon2	100%	0/0 (100%)
RSPH4A__NM_001010892__exon3	100%	2/2 (100%)
RSPH4A__NM_001010892__exon4	100%	0/0 (100%)
RSPH4A__NM_001010892__exon5	100%	0/0 (100%)
RSPH4A__NM_001010892__exon6	100%	0/0 (100%)
HEATR2__NM_017802__exon1	25%	0/0 (100%)
