# Sample_Diag-excap18-13000881902-KIT-AI50Mbv5
DRC1__NM_145038	100%	2/2 (100%)
CCDC39__NM_181426	100%	32/32 (100%)
DNAH5__NM_001369	100%	82/82 (100%)
RSPH9__NM_152732	100%	2/2 (100%)
RSPH4A__NM_001010892	100%	5/5 (100%)
HEATR2__NM_017802	83%	1/1 (100%)
DNAH11__NM_001277115	100%	0/0 (100%)
LRRC6__NM_012472	100%	12/12 (100%)
DNAI1__NM_012144	100%	22/22 (100%)
DNAAF2__NM_018139	100%	2/2 (100%)
DNAL1__NM_031427	100%	1/1 (100%)
HYDIN__NM_001270974	100%	3/3 (100%)
DNAAF1__NM_178452	100%	11/11 (100%)
CCDC103__NM_213607	100%	2/2 (100%)
DNAI2__NM_023036	100%	5/5 (100%)
CCDC40__NM_017950	100%	25/25 (100%)
CCDC114__NM_144577	100%	3/3 (100%)
DNAAF3__NM_001256714	100%	3/3 (100%)
