# Sample_Diag-excap17-13000217701-KIT-AI50Mbv5
PLOD1__NM_000302	100%	28/28 (100%)
TGFB2__NM_003238	100%	12/12 (100%)
COL3A1__NM_000090	98%	208/213 (98%)
COL5A2__NM_000393	100%	17/17 (100%)
TGFBR2__NM_003242	100%	90/90 (100%)
FBN2__NM_001999	100%	37/37 (100%)
ELN__NM_000501	100%	0/0 (100%)
COL1A2__NM_000089	95%	285/304 (94%)
TGFBR1__NM_004612	94%	40/40 (100%)
COL5A1__NM_000093	100%	103/103 (100%)
NOTCH1__NM_017617	99%	18/18 (100%)
ACTA2__NM_001613	100%	38/38 (100%)
ALDH18A1__NM_002860	100%	6/6 (100%)
EFEMP2__NM_016938	100%	12/12 (100%)
LTBP2__NM_000428	100%	15/15 (100%)
FBN1__NM_000138	100%	1373/1373 (100%)
SMAD3__NM_005902	100%	16/16 (100%)
MYH11__NM_002474	100%	13/13 (100%)
COL1A1__NM_000088	100%	505/505 (100%)
PYCR1__NM_006907	100%	20/20 (100%)
ADAMTS10__NM_030957	100%	7/7 (100%)
SLC2A10__NM_030777	100%	22/22 (100%)
