# Sample_Diag-excap17-13000702500-KIT-AI50Mbv5
SCN1A__NM_001165963	99%	771/779 (99%)
SYNGAP1__NM_006772	98%	9/9 (100%)
STXBP1__NM_003165	100%	30/30 (100%)
FOXG1__NM_005249	94%	23/23 (100%)
UBE3A__NM_130838	100%	67/67 (100%)
POLG__NM_002693	100%	196/196 (100%)
PNKP__NM_007254	100%	3/3 (100%)
KCNQ2__NM_172107	100%	71/71 (100%)
CDKL5__NM_003159	98%	87/93 (94%)
ARX__NM_139058	70%	34/41 (83%)
PCDH19__NM_001184880	100%	75/75 (100%)
SLC9A6__NM_001042537	100%	6/6 (100%)
MECP2__NM_004992	100%	364/364 (100%)
